experiment_id,segment_type,segment_value,n_control,n_treatment,mean_control,mean_treatment,mean_difference,pct_change,p_value,is_significant
EXP-001,customer_segment,Occasional,12077,12311,524.6594,480.4258,-44.2337,-8.43,0.00021,True
EXP-001,customer_segment,Premium,6959,6972,507.9887,454.0888,-53.8999,-10.61,0.000564,True
EXP-001,customer_segment,Regular,24132,24394,524.4499,464.5187,-59.9311,-11.43,0.0,True
EXP-001,order_priority,Express,13003,13060,520.6795,462.0387,-58.6408,-11.26,0.0,True
EXP-001,order_priority,Same-Day,4313,4435,524.29,483.4875,-40.8025,-7.78,0.041221,True
EXP-001,order_priority,Standard,25852,26182,522.0398,467.2449,-54.7949,-10.5,0.0,True
EXP-001,region,Midwest,11232,11066,429.7171,392.9426,-36.7744,-8.56,0.000205,True
EXP-001,region,Northeast,10714,11068,565.1785,518.3203,-46.8582,-8.29,0.00089,True
EXP-001,region,South,10393,10383,458.5566,399.6451,-58.9116,-12.85,0.0,True
EXP-001,region,West,10829,11160,635.3076,553.5225,-81.7851,-12.87,0.0,True
