experiment_id,segment_type,segment_value,n_control,n_treatment,mean_control,mean_treatment,mean_difference,pct_change,p_value,is_significant
EXP-006,customer_segment,Occasional,15431,15457,522.887,496.8993,-25.9877,-4.97,0.019889,True
EXP-006,customer_segment,Premium,7953,8101,550.7783,511.4678,-39.3106,-7.14,0.013257,True
EXP-006,customer_segment,Regular,30293,30204,551.7592,497.378,-54.3811,-9.86,0.0,True
EXP-006,order_priority,Express,16118,16218,539.4104,506.5652,-32.8452,-6.09,0.003045,True
EXP-006,order_priority,Same-Day,5387,5316,557.2531,490.736,-66.5171,-11.94,0.000513,True
EXP-006,order_priority,Standard,32172,32228,542.9352,497.1625,-45.7727,-8.43,0.0,True
EXP-006,region,Midwest,13948,13991,434.1243,403.4174,-30.7069,-7.07,0.000697,True
EXP-006,region,Mountain,13238,13293,473.0363,439.6474,-33.3889,-7.06,0.000547,True
EXP-006,region,Northeast,13381,13295,582.8393,527.9345,-54.9048,-9.42,2.9e-05,True
EXP-006,region,Northwest,13110,13183,690.1034,632.5908,-57.5127,-8.33,0.000246,True
