experiment_id,segment_type,segment_value,n_control,n_treatment,mean_control,mean_treatment,mean_difference,pct_change,p_value,is_significant
EXP-010,customer_segment,Occasional,73808,74524,529.5378,517.2317,-12.3061,-2.32,0.018027,True
EXP-010,customer_segment,Premium,40559,40463,527.9919,517.5517,-10.4402,-1.98,0.139552,False
EXP-010,customer_segment,Regular,146664,146460,535.215,514.7483,-20.4667,-3.82,0.0,True
EXP-010,order_priority,Express,78351,78265,534.1281,516.2444,-17.8837,-3.35,0.000446,True
EXP-010,order_priority,Same-Day,26175,26487,547.212,516.5122,-30.6998,-5.61,0.000542,True
EXP-010,order_priority,Standard,156505,156695,529.2034,515.6079,-13.5955,-2.57,0.000151,True
EXP-010,region,Mid-Atlantic,33882,33953,447.5046,431.7855,-15.7191,-3.51,0.01735,True
EXP-010,region,Midwest,33437,33744,435.4758,419.2768,-16.1989,-3.72,0.006596,True
EXP-010,region,Mountain,31719,31521,467.0979,447.6595,-19.4384,-4.16,0.002115,True
EXP-010,region,Northeast,32571,32455,563.1998,548.2423,-14.9574,-2.66,0.078938,False
EXP-010,region,Northwest,31741,31915,689.4964,673.5568,-15.9397,-2.31,0.122496,False
EXP-010,region,South,31333,31186,453.9005,442.4818,-11.4187,-2.52,0.058828,False
EXP-010,region,Southeast,33067,33535,582.8868,564.0161,-18.8706,-3.24,0.030572,True
EXP-010,region,West,33281,33138,622.9024,602.1923,-20.7101,-3.32,0.022159,True
