experiment_id,segment_type,segment_value,n_control,n_treatment,mean_control,mean_treatment,mean_difference,pct_change,p_value,is_significant
EXP-005,customer_segment,Occasional,24511,24679,537.4937,498.9166,-38.5772,-7.18,1.4e-05,True
EXP-005,customer_segment,Premium,13290,13076,540.2559,484.8149,-55.441,-10.26,5e-06,True
EXP-005,customer_segment,Regular,48009,48464,536.1489,492.0009,-44.1481,-8.23,0.0,True
EXP-005,order_priority,Express,25528,25932,538.4962,494.8065,-43.6896,-8.11,1e-06,True
EXP-005,order_priority,Same-Day,8725,8719,527.9183,497.1604,-30.7578,-5.83,0.038176,True
EXP-005,order_priority,Standard,51557,51568,538.0776,491.2051,-46.8725,-8.71,0.0,True
EXP-005,region,Mid-Atlantic,10960,11131,443.4334,408.4023,-35.0311,-7.9,0.001691,True
EXP-005,region,Midwest,10929,11067,442.3308,404.1559,-38.1749,-8.63,0.000194,True
EXP-005,region,Mountain,10432,10338,464.1444,431.6738,-32.4706,-7.0,0.002584,True
EXP-005,region,Northeast,10641,10821,579.6985,511.7893,-67.9092,-11.71,2e-06,True
EXP-005,region,Northwest,10538,10610,695.0453,639.4633,-55.5821,-8.0,0.001463,True
EXP-005,region,South,10149,10285,458.8399,421.4024,-37.4376,-8.16,0.000281,True
EXP-005,region,Southeast,11195,11082,576.3996,544.9856,-31.414,-5.45,0.032989,True
EXP-005,region,West,10966,10885,634.3012,580.4996,-53.8017,-8.48,0.000521,True
