experiment_id,segment_type,segment_value,n_control,n_treatment,mean_control,mean_treatment,mean_difference,pct_change,p_value,is_significant
EXP-007,customer_segment,Occasional,10103,10006,519.6067,478.2153,-41.3914,-7.97,0.002104,True
EXP-007,customer_segment,Premium,5615,5669,515.988,453.1541,-62.8339,-12.18,0.00039,True
EXP-007,customer_segment,Regular,20515,20186,535.4636,461.971,-73.4926,-13.73,0.0,True
EXP-007,order_priority,Express,10882,10851,522.9595,462.2748,-60.6847,-11.6,3e-06,True
EXP-007,order_priority,Same-Day,3605,3527,528.2343,435.5719,-92.6624,-17.54,2.7e-05,True
EXP-007,order_priority,Standard,21746,21483,530.5236,471.391,-59.1326,-11.15,0.0,True
EXP-007,region,Mid-Atlantic,9293,9251,450.229,400.497,-49.732,-11.05,4e-05,True
EXP-007,region,South,8569,8473,447.7458,400.6964,-47.0494,-10.51,2.1e-05,True
EXP-007,region,Southeast,9191,9140,586.7307,517.0901,-69.6406,-11.87,1.4e-05,True
EXP-007,region,West,9180,8997,622.9348,539.4017,-83.5331,-13.41,0.0,True
