experiment_id,segment_type,segment_value,n_control,n_treatment,mean_control,mean_treatment,mean_difference,pct_change,p_value,is_significant
EXP-003,customer_segment,Occasional,8644,8847,956.7265,859.555,-97.1714,-10.16,0.000147,True
EXP-003,customer_segment,Premium,4761,4800,916.7456,834.205,-82.5405,-9.0,0.015369,True
EXP-003,customer_segment,Regular,17199,17393,934.7756,821.5713,-113.2043,-12.11,0.0,True
EXP-003,order_priority,Express,9194,9334,945.6171,840.953,-104.664,-11.07,2.5e-05,True
EXP-003,order_priority,Same-Day,3063,3031,908.8956,870.0133,-38.8823,-4.28,0.369167,False
EXP-003,order_priority,Standard,18347,18675,939.3265,825.2632,-114.0633,-12.14,0.0,True
EXP-003,region,Midwest,7903,8051,833.0704,754.0202,-79.0502,-9.49,0.000667,True
EXP-003,region,Northeast,7507,7721,969.7264,830.5767,-139.1497,-14.35,1e-06,True
EXP-003,region,South,7487,7431,948.2185,835.3088,-112.9097,-11.91,9e-06,True
EXP-003,region,West,7707,7837,1005.4458,919.6858,-85.76,-8.53,0.004811,True
