experiment_id,segment_type,segment_value,n_control,n_treatment,mean_control,mean_treatment,mean_difference,pct_change,p_value,is_significant
EXP-008,customer_segment,Occasional,10153,10184,1028.2844,915.6169,-112.6675,-10.96,2.2e-05,True
EXP-008,customer_segment,Premium,5533,5565,974.5315,867.0981,-107.4334,-11.02,0.002134,True
EXP-008,customer_segment,Regular,20875,20784,989.907,869.1148,-120.7922,-12.2,0.0,True
EXP-008,order_priority,Express,10994,10967,1018.4128,912.4327,-105.9801,-10.41,3.3e-05,True
EXP-008,order_priority,Same-Day,3729,3709,1022.407,903.7821,-118.6249,-11.6,0.006677,True
EXP-008,order_priority,Standard,21838,21857,983.9535,862.6503,-121.3032,-12.33,0.0,True
EXP-008,region,Northeast,9081,9073,951.8473,846.2229,-105.6244,-11.1,4.8e-05,True
EXP-008,region,Northwest,8749,8820,1014.9153,964.6652,-50.2501,-4.95,0.093607,False
EXP-008,region,Southeast,9318,9258,957.146,800.4543,-156.6918,-16.37,0.0,True
EXP-008,region,West,9413,9382,1068.1671,918.46,-149.7071,-14.02,0.0,True
