experiment_id,segment_type,segment_value,n_control,n_treatment,mean_control,mean_treatment,mean_difference,pct_change,p_value,is_significant
EXP-009,customer_segment,Occasional,50265,50682,435.5768,425.0471,-10.5296,-2.42,0.031879,True
EXP-009,customer_segment,Premium,26851,26958,450.2241,431.7542,-18.4699,-4.1,0.006703,True
EXP-009,customer_segment,Regular,97392,96848,455.4024,437.8543,-17.5481,-3.85,1e-06,True
EXP-009,order_priority,Express,52386,52448,445.1242,434.0375,-11.0867,-2.49,0.023002,True
EXP-009,order_priority,Same-Day,17498,17318,444.4274,433.7739,-10.6535,-2.4,0.207383,False
EXP-009,order_priority,Standard,104624,104722,451.5304,432.6721,-18.8583,-4.18,0.0,True
EXP-009,region,Mid-Atlantic,45365,45516,439.0056,425.2041,-13.8015,-3.14,0.013286,True
EXP-009,region,Midwest,44985,44648,436.7276,413.9412,-22.7863,-5.22,9e-06,True
EXP-009,region,Mountain,42083,42540,464.4917,457.9177,-6.5741,-1.42,0.231117,False
EXP-009,region,South,42075,41784,456.9673,437.29,-19.6773,-4.31,0.000153,True
